Sloupec1;ZZ_ID;ZZ_kod;PCZ;PCDP;ZZ_nazev;ZZ_druh_kod;ZZ_druh_nazev;ZZ_druh_nazev_sekundarni;ZZ_misto_poskytovani_ID;ZZ_kraj_kod;ZZ_kraj_nazev;ZZ_okres_kod;ZZ_okres_nazev;ZZ_ORP_kod;ZZ_ORP_nazev;ZZ_obec;ZZ_spravni_obvod;ZZ_PSC;ZZ_ulice;ZZ_cislo_domovni_orientacni;ZZ_RUIAN_kod;ZZ_GPS;ZZ_datum_zahajeni_cinnosti;ZZ_obor_pece;ZZ_forma_pece;ZZ_druh_pece;ZZ_rozsah_pece;poskytovatel_druh;poskytovatel_nazev;poskytovatel_osoba_typ;poskytovatel_pravni_forma_kod;poskytovatel_pravni_forma_nazev;poskytovatel_sidlo_kraj_kod;poskytovatel_sidlo_kraj_nazev;poskytovatel_sidlo_okres_kod;poskytovatel_sidlo_okres_nazev;poskytovatel_sidlo_obec;poskytovatel_sidlo_PSC;poskytovatel_sidlo_ulice;poskytovatel_sidlo_cislo_domovni_orientacni;poskytovatel_sidlo_RUIAN_kod;poskytovatel_telefon;poskytovatel_fax;poskytovatel_email;poskytovatel_web;poskytovatel_datova_schranka;poskytovatel_odborny_zastupce;zrizovatel_typ;ZZ_obor_pece_strucne;latitude;longitude;ico_str;ulice_str;match_key;Pondělí;Úterý;Středa;Čtvrtek;Pátek;Sobota;Neděle
63323818;181039;6,33238E+13;2;0;MEDESA care s.r.o.;521;Výdejna zdravotnických prostředků;;261112;CZ064;Jihomoravský kraj;CZ0642;Brno-město;6203;Brno;Brno;;61600;Horova;1917/38a;25093282.0;POINT(49.214320367562 16.572892173854);14.01.2026;;ambulantní péče;lékárenská péče;výdejna zdravotnických prostředků;Výdejna zdravotnických prostředků;MEDESA care s.r.o.;právnická osoba;112.0;Společnost s ručením omezeným;CZ080;Moravskoslezský kraj;CZ0806;Ostrava-město;Ostrava;70200;Nádražní;1387/132 ;25093282.0;4,20736E+11;;info@intermeta.cz;http://www.intermeta.cz;jv8ccwd;Lenka Pecháčková;;Neznámý;49.214320367562;16.572892173854;63323818;horova;63323818_horova;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena
23412003;181030;2,3412E+13;0;0;Mgr. Anna Nováčková;359;Samostatné zařízení nelékaře - jiné;;261106;CZ064;Jihomoravský kraj;CZ0642;Brno-město;6203;Brno;Brno;;61500;Mrkosova;2437/35;19643632.0;POINT(49.195304832088 16.640566077995);15.01.2026;Nutriční terapeut;ambulantní péče;;;Samostatné zařízení nelékaře - jiné;Mgr. Anna Nováčková;fyzická osoba;;;CZ064;Jihomoravský kraj;CZ0642;Brno-město;Brno;63700;Dubová;644/19 ;19643632.0;;;novackova@nuance-ambulance.com;www.nuance-ambulance.com;wxwkqxa;;;Nutriční;49.195304832088;16.640566077995;23412003;mrkosova;23412003_mrkosova;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena
47910038;181026;4,791E+13;1;0;MDgK - plus, spol. s r.o.;361;Samostatná odborná laboratoř;;261093;CZ064;Jihomoravský kraj;CZ0646;Vyškov;6219;Vyškov;Vyškov;;68201;Purkyňova;235/36;13893670.0;POINT(49.27751356829 16.979920879488);15.01.2026;patologie;ambulantní péče;;;Samostatná odborná laboratoř;MDgK - plus, spol. s r.o.;právnická osoba;112.0;Společnost s ručením omezeným;CZ064;Jihomoravský kraj;CZ0642;Brno-město;Brno;61900;Havránkova;49/66 ;13893670.0;4,20572E+11;;info@mdgk.cz;www.mdgk.cz;c3irbe6;Mojmír Moulis;;Patologie;49.27751356829;16.979920879488;47910038;purkyňova;47910038_purkyňova;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena
23128674;180984;2,31287E+13;0;0;Kerea Klinika s.r.o.;351;Samostatné zařízení fyzioterapeuta;;261043;CZ064;Jihomoravský kraj;CZ0646;Vyškov;6215;Slavkov u Brna;Slavkov u Brna;;68401;Palackého náměstí;71;13938606.0;POINT(49.152883053497 16.87698559761);06.01.2026;Fyzioterapeut;ambulantní péče;;;Samostatné zařízení fyzioterapeuta;Kerea Klinika s.r.o.;právnická osoba;112.0;Společnost s ručením omezeným;CZ064;Jihomoravský kraj;CZ0646;Vyškov;Slavkov u Brna;68401;Palackého náměstí;71;13938606.0;;;;;2m8xjhu;Eva Pučerová;;Fyzioterapie;49.152883053497;16.87698559761;23128674;palackého náměstí;23128674_palackého náměstí;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena
9261133;180974;9,26113E+12;0;0;Stomatologie Šlanger s.r.o.;322;Samostatná ordinace PL - stomatologa;;227191;CZ064;Jihomoravský kraj;CZ0645;Hodonín;6206;Hodonín;Hodonín;;69501;Blažkova;2936/5;23204494.0;POINT(48.855979206281 17.125446210808);01.01.2026;Dentální hygienistka, zubní lékařství;ambulantní péče;;;Samostatná ordinace PL - stomatologa;Stomatologie Šlanger s.r.o.;právnická osoba;112.0;Společnost s ručením omezeným;CZ064;Jihomoravský kraj;CZ0645;Hodonín;Hodonín;69501;Blažkova;2936/5 ;23204494.0;;;stomatologie.slanger@gmail.com;;i34arb4;Jan  Šlanger;;Zubař;48.855979206281;17.125446210808;09261133;blažkova;09261133_blažkova;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena
160105;180964;1,60105E+11;0;0;Psychiatrická nemocnice Brno;104;Psychiatrická nemocnice;Psychoterapeutický stacionář, Záchytná stanice, Samost. ordinace všeob. prakt. lékaře;129567;CZ064;Jihomoravský kraj;CZ0642;Brno-město;6203;Brno;Brno;;61800;Húskova;1123/2;19353294.0;POINT(49.184732770687 16.637765999693);01.01.2026;anesteziologie a intenzivní medicína, dermatovenerologie, gerontopsychiatrie, gynekologie a porodnictví, hematologie a transfúzní lékařství, chirurgie, klinická biochemie, Klinický psycholog, návykové nemoci, neurologie, oftalmologie, ortopedie a traumatologie pohybového ústrojí, otorinolaryngologie a chirurgie hlavy a krku, praktické lékárenství, psychiatrie, radiologie a zobrazovací metody, rehabilitační a fyzikální medicína, sexuologie, vnitřní lékařství, Všeobecná sestra, všeobecné praktické lékařství, zubní lékařství;akutní lůžková péče intenzivní, akutní lůžková péče standardní, ambulantní péče, následná lůžková péče - standardní, primární ambulantní péče, specializovaná ambulantní péče, stacionární péče;léčebně rehabilitační péče, lékárenská péče, ošetřovatelská péče, zdravotnická dopravní služba;;Psychiatrická léčebna;Psychiatrická nemocnice Brno;právnická osoba;331.0;Příspěvková organizace zřízená územním samosprávným celkem;CZ064;Jihomoravský kraj;CZ0642;Brno-město;Brno;61800;Húskova;1123/2 ;19353294.0;4,20548E+11;4,20548E+11;sekretariat@pnbrno.cz;http://www.pnbrno.cz;z22xiap;Mária Laurová, Pavel Mošťák, Petr Cecava, PharmDr. Lubomír Spurný;;Zubař;49.184732770687;16.637765999693;00160105;húskova;00160105_húskova;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena
23777877;180930;2,37779E+13;0;0;kušima lékárna s.r.o.;510;Lékárna;;261005;CZ064;Jihomoravský kraj;CZ0645;Hodonín;6206;Hodonín;Hodonín;;69501;Masarykovo nám.;257/16;23183179.0;POINT(48.849596318569 17.128926841348);17.12.2025;praktické lékárenství;ambulantní péče;lékárenská péče;;Lékárna;kušima lékárna s.r.o.;právnická osoba;112.0;Společnost s ručením omezeným;CZ064;Jihomoravský kraj;CZ0642;Brno-město;Brno;60200;Nové sady;988/2 ;23183179.0;;;;;6sskbra;Karolína Černá;;Praktické;48.849596318569;17.128926841348;23777877;masarykovo nám.;23777877_masarykovo nám.;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena
23792973;180929;2,3793E+13;0;0;MUDr. Kateřina Turečková;322;Samostatná ordinace PL - stomatologa;;261003;CZ064;Jihomoravský kraj;CZ0643;Brno-venkov;6221;Židlochovice;Rajhrad;;66461;Masarykova;544;13238345.0;POINT(49.088552022754 16.604545686149);01.01.2026;zubní lékařství;ambulantní péče;;;Samostatná ordinace PL - stomatologa;MUDr. Kateřina Turečková;fyzická osoba;;;CZ064;Jihomoravský kraj;CZ0643;Brno-venkov;Rajhrad;66461;Masarykova;544;13238345.0;;;;;exfk46f;;;Zubař;49.088552022754;16.604545686149;23792973;masarykova;23792973_masarykova;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena
3675718;180928;3,67572E+12;0;1;Mgr. Martina Víchová;351;Samostatné zařízení fyzioterapeuta;;261006;CZ064;Jihomoravský kraj;CZ0642;Brno-město;6203;Brno;Brno;;60300;Hlinky;1017/50;85937991.0;POINT(49.18960569094 16.587207415466);30.12.2025;Fyzioterapeut;ambulantní péče;;individuální fyzioterapie;Samostatné zařízení fyzioterapeuta;Mgr. Martina Víchová;fyzická osoba;;;CZ064;Jihomoravský kraj;CZ0642;Brno-město;Brno;60300;Hlinky;1017/50 ;85937991.0;;;;;m25ddmk;;;Fyzioterapie;49.18960569094;16.587207415466;03675718;hlinky;03675718_hlinky;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena
8281408;180860;8,28141E+12;0;0;SEMCARE medical spol. s r.o.;480;Zdravotnická dopravní služba;;260939;CZ064;Jihomoravský kraj;CZ0646;Vyškov;6219;Vyškov;Vyškov;;68201;Komenského;18/9;13920171.0;POINT(49.279247072818 16.99735792996);22.12.2025;;;zdravotnická dopravní služba;;Zdravotnická dopravní služba;SEMCARE medical spol. s r.o.;právnická osoba;112.0;Společnost s ručením omezeným;CZ010;Hlavní město Praha;CZ0100;Hlavní město Praha;Praha 5;15500;Kurzova;2222/16 ;13920171.0;;;doprava@semcare-medical.eu;www.semcare-medical.eu;tv3754e;Jakub Štark;;Neznámý;49.279247072818;16.99735792996;08281408;komenského;08281408_komenského;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena
43874681;180859;4,38747E+13;7;3;AMBULANCE MEDITRANS s.r.o.;480;Zdravotnická dopravní služba;;260931;CZ064;Jihomoravský kraj;CZ0646;Vyškov;6219;Vyškov;Vyškov;;68201;Jízdárenská;590/2a;27448487.0;POINT(49.290781366282 16.987025071744);01.01.2026;;;zdravotnická dopravní služba;;Přeprava pacientů neodkladné péče;AMBULANCE MEDITRANS s.r.o.;právnická osoba;112.0;Společnost s ručením omezeným;CZ010;Hlavní město Praha;CZ0100;Hlavní město Praha;Praha 12;14700;Vrbova;1503/19a;27448487.0;4,20244E+11;4,20244E+11;;http://www.ambulance-meditrans.cz;ca4zdwj;TOMÁŠ TESAŘ;;Neznámý;49.290781366282;16.987025071744;43874681;jízdárenská;43874681_jízdárenská;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena
28579551;180846;2,85796E+13;1;0;KONTAKTO.CZ internetový obchod, spol. s r.o.;523;Oční optika;;260916;CZ064;Jihomoravský kraj;CZ0643;Brno-venkov;6216;Šlapanice;Modřice;;66442;U dálnice;777;25937944.0;POINT(49.138134570623 16.633019141565);09.12.2025;Optometrista;ambulantní péče;;;Oční optika;KONTAKTO.CZ internetový obchod, spol. s r.o.;právnická osoba;112.0;Společnost s ručením omezeným;CZ080;Moravskoslezský kraj;CZ0803;Karviná;Český Těšín;73701;Hlavní třída;43/34 ;25937944.0;;;;;4ptgeh7;VILMA BŘEZINOVÁ;;Optometrista;49.138134570623;16.633019141565;28579551;u dálnice;28579551_u dálnice;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena
60709162;180845;6,07092E+13;2;7;Herlango, s.r.o.;523;Oční optika;;260918;CZ064;Jihomoravský kraj;CZ0644;Břeclav;6207;Hustopeče;Klobouky u Brna;;69172;nám. Míru;171/3;9973311.0;POINT(48.996203963991 16.859183271699);12.12.2025;Optometrista;zdrav. péče poskytovaná ve vlastním soc. prostředí pacienta - domácí péče - ošetřovatelská;;;Oční optika;Herlango, s.r.o.;právnická osoba;112.0;Společnost s ručením omezeným;CZ064;Jihomoravský kraj;CZ0642;Brno-město;Brno;62800;Pálavské náměstí;4246/5 ;9973311.0;4,20605E+11;;petra.hladikova@herlango.cz;http://www.herlango.cz;tpu96rk;Brigita Holubová;;Optometrista;48.996203963991;16.859183271699;60709162;nám. míru;60709162_nám. míru;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena
28511298;180844;2,85113E+13;647;0;ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna;510;Lékárna;;260915;CZ064;Jihomoravský kraj;CZ0646;Vyškov;6219;Vyškov;Rousínov;;68301;Sušilovo náměstí;411/4;13932977.0;POINT(49.203341183047 16.880096754469);01.01.2026;praktické lékárenství;ambulantní péče;lékárenská péče;;Lékárna;ČESKÁ LÉKÁRNA HOLDING, a.s.;právnická osoba;121.0;Akciová společnost;CZ064;Jihomoravský kraj;CZ0642;Brno-město;Brno;60200;Nové sady;996/25 ;13932977.0;;4,20494E+11;;http://www.drmax.cz;8qhewf3;Alice Dosoudilová, Alice Vespalcová, Blanka Doskočilová, Darina Vašíčková, David Svoboda, Filip Kořínek, Jan Šalša, Jana Maradová, Jana Švejdová, Jaroslava Kučerová, Magda Chmelařová, Marcela Míčková, Markéta Kadlčková, Martin Kolesár, Mgr. Pavla Gratiasová, Mgr. Petr Jeniš, Monika Hubáčková, Nina Švédová, PharmDr. Hana Bedřichová, PharmDr. Kateřina Häringová, PharmDr. Lucia Hanáková, PharmDr. Radka Plisková, PharmDr. Robert Lukáč, Tomáš Švarc, Tomáš Ureš, Vendula Petříková, Veronika Polášková, Veronika Ves;;Praktické;49.203341183047;16.880096754469;28511298;sušilovo náměstí;28511298_sušilovo náměstí;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena
17128188;180842;1,71282E+13;0;0;Mgr. Simona Hlaváčová;341;Samostatné zařízení logopeda;;260924;CZ064;Jihomoravský kraj;CZ0645;Hodonín;6206;Hodonín;Hodonín;;69501;Purkyňova;2731/11;23202297.0;POINT(48.864251825536 17.145002383128);01.01.2026;Klinický logoped;ambulantní péče;;;Samostatné zařízení logopeda;Mgr. Simona Hlaváčová;fyzická osoba;;;CZ064;Jihomoravský kraj;CZ0645;Hodonín;Hodonín;69501;Purkyňova;4232/76b;23202297.0;4,20723E+11;;hlavac.simona@gmail.com;;32bphhg;;;Logopedie;48.864251825536;17.145002383128;17128188;purkyňova;17128188_purkyňova;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena
23034734;180841;2,30347E+13;0;0;Five clinic s.r.o.;324;Samostatná ordinace lékaře specialisty;;260908;CZ064;Jihomoravský kraj;CZ0642;Brno-město;6203;Brno;Brno;;60200;Benešova;626/16;19100302.0;POINT(49.193074953648 16.613310611304);18.12.2025;dermatovenerologie;ambulantní péče;;;Samostatná ordinace lékaře specialisty;Five clinic s.r.o.;právnická osoba;112.0;Společnost s ručením omezeným;CZ064;Jihomoravský kraj;CZ0642;Brno-město;Brno;60200;Francouzská;415/79 ;19100302.0;4,20728E+11;;team@fiveclinic.cz;;94spjhm;Mária Rakúsová;;Kožní;49.193074953648;16.613310611304;23034734;benešova;23034734_benešova;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena
23555939;180800;2,35559E+13;0;0;Mgr. et Mgr. ANNA PADĚROVÁ;341;Samostatné zařízení logopeda;;260859;CZ064;Jihomoravský kraj;CZ0641;Blansko;6202;Boskovice;Valchov;;68001;;130;1998765.0;POINT(49.472023685934 16.720185800037);12.12.2025;Klinický logoped;ambulantní péče;;;Samostatné zařízení logopeda;Mgr. et Mgr. ANNA PADĚROVÁ;fyzická osoba;;;CZ064;Jihomoravský kraj;CZ0641;Blansko;Ludíkov;68001;;58;1998765.0;4,20734E+11;;annapaderova@seznam.cz;;iduvwf5;;;Logopedie;49.472023685934;16.720185800037;23555939;nan;23555939_nan;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena
7839511;180799;7,83951E+12;0;1;Mgr. Jana Mihulková;351;Samostatné zařízení fyzioterapeuta;;260860;CZ064;Jihomoravský kraj;CZ0642;Brno-město;6203;Brno;Brno;;60300;Hlinky;1017/50;85937991.0;POINT(49.18960569094 16.587207415466);10.12.2025;Fyzioterapeut;;;;Samostatné zařízení fyzioterapeuta;Mgr. Jana Mihulková;fyzická osoba;;;CZ064;Jihomoravský kraj;CZ0643;Brno-venkov;Pohořelice;69123;Brunnerova;1652;85937991.0;4,20725E+11;;mihulkovafyzio@gmail.com;;a8vs8k7;;;Fyzioterapie;49.18960569094;16.587207415466;07839511;hlinky;07839511_hlinky;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena
46902279;180788;4,69023E+13;0;1;SANOFYTO, s.r.o.;324;Samostatná ordinace lékaře specialisty;;260852;CZ064;Jihomoravský kraj;CZ0642;Brno-město;6203;Brno;Brno;;60200;Zahradníkova;494/2;19170891.0;POINT(49.206075836218 16.594005066972);16.12.2025;ortopedie a traumatologie pohybového ústrojí;ambulantní péče;;;Poskytovatel ambulantních služeb (nad 5 oborů);SANOFYTO, s.r.o.;právnická osoba;112.0;Společnost s ručením omezeným;CZ064;Jihomoravský kraj;CZ0642;Brno-město;Brno;61500;Viniční;4049/235 ;19170891.0;4,20545E+11;;info@sanofyto.cz;www.sanofyto.cz;azgy4w5;MUDr. Otakar Mach;;Ortopedie;49.206075836218;16.594005066972;46902279;zahradníkova;46902279_zahradníkova;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena
23567821;180772;2,35678E+13;0;0;Oční optika OCULIO s.r.o.;523;Oční optika;;260836;CZ064;Jihomoravský kraj;CZ0644;Břeclav;6207;Hustopeče;Velké Pavlovice;;69106;Nádražní;3/8;10162780.0;POINT(48.89660548918 16.818657645114);12.12.2025;Optometrista;ambulantní péče;;;Oční optika;Oční optika OCULIO s.r.o.;právnická osoba;112.0;Společnost s ručením omezeným;CZ064;Jihomoravský kraj;CZ0641;Blansko;Lipůvka;67922;;261;10162780.0;4,20702E+11;;info@oculio.cz;;2b9wzmt;IVA OSIČKOVÁ;;Optometrista;48.89660548918;16.818657645114;23567821;nádražní;23567821_nádražní;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena
